Country Name,2018,2017,2016,2015,2014
Qatar,"$183,334,953,813","$161,099,122,215","$151,732,181,857","$161,739,955,578","$206,224,598,565"
Kazakhstan,"$179,339,994,859","$166,805,800,596","$137,278,320,084","$184,388,432,149","$221,415,572,820"
Algeria,"$175,405,660,377","$170,163,165,961","$159,994,837,855","$166,361,491,141","$213,860,450,596"
Hungary,"$160,418,835,851","$142,961,605,733","$128,470,534,118","$125,074,286,021","$140,765,018,881"
Kuwait,"$140,645,364,238","$120,707,220,574","$109,419,728,567","$114,567,298,106","$162,631,412,509"
Ukraine,"$130,901,858,422","$112,190,355,158","$93,355,993,629","$91,030,959,455","$133,503,411,376"
Morocco,"$118,096,227,400","$109,682,728,023","$103,311,649,248","$101,179,808,076","$110,081,248,587"
Ecuador,"$107,562,008,000","$104,295,862,000","$99,937,696,000","$99,290,381,000","$101,726,331,000"
Slovak Republic,"$105,701,930,963","$95,494,424,979","$89,655,253,976","$88,467,555,244","$101,189,715,749"
Angola,"$101,353,230,785","$122,123,822,334","$101,123,851,090","$116,193,649,124","$145,712,200,313"
Puerto Rico,"$100,979,900,000","$103,445,500,000","$104,336,700,000","$103,375,500,000","$102,445,800,000"
Cuba,"$100,023,000,000","$96,851,000,000","$91,370,000,000","$87,133,000,000","$80,656,000,000"
Sri Lanka,"$88,425,889,592","$87,428,125,558","$82,401,038,710","$80,604,080,689","$79,356,449,841"
Kenya,"$87,778,582,964","$78,965,004,656","$69,188,755,364","$64,007,750,169","$61,448,046,802"
Dominican Republic,"$85,555,378,044","$79,997,975,623","$75,704,720,190","$71,164,825,258","$67,179,914,026"
Ethiopia,"$84,269,348,327","$81,770,791,971","$74,296,618,481","$64,589,334,979","$55,612,228,234"
Oman,"$79,788,768,969","$70,598,026,283","$65,480,507,171","$68,399,663,322","$80,686,854,743"
Myanmar,"$76,168,043,982","$68,945,867,478","$67,184,236,747","$67,822,772,707","$65,446,199,788"
Guatemala,"$73,118,147,941","$71,612,352,645","$66,053,725,049","$62,186,186,576","$57,852,399,705"
Luxembourg,"$70,919,958,016","$64,181,944,723","$60,691,483,443","$57,744,457,955","$66,103,853,237"
Bulgaria,"$66,230,155,100","$58,971,520,599","$53,806,894,796","$50,647,442,757","$56,901,994,980"
Ghana,"$65,556,464,048","$58,998,132,330","$55,009,730,600","$48,564,863,888","$53,660,342,160"
Panama,"$65,128,200,000","$62,219,000,000","$57,907,700,000","$54,091,700,000","$49,921,500,000"
Croatia,"$61,375,222,347","$55,481,644,098","$51,601,147,666","$49,525,747,504","$57,639,588,806"
